Sales Summary: Gross Sales Displayed by Device,iPad cellutionz
9/1/2021,$0.00 
9/2/2021,$456.65 
9/3/2021,$409.63 
9/4/2021,$253.33 
9/5/2021,$0.00 
9/6/2021,$0.00 
9/7/2021,$107.79 
9/8/2021,$387.22 
9/9/2021,$0.00 
9/10/2021,$190.08 
9/11/2021,$37.73 
9/12/2021,$0.00 
9/13/2021,$178.84 
9/14/2021,$68.99 
9/15/2021,$626.38 
9/16/2021,$283.09 
9/17/2021,$150.91 
9/18/2021,$519.23 
9/19/2021,$0.00 
9/20/2021,$927.06 
9/21/2021,$66.09 
9/22/2021,$153.91 
9/23/2021,$264.09 
9/24/2021,$619.84 
9/25/2021,$40.14 
9/26/2021,$0.00 
9/27/2021,$53.90 
9/28/2021,$210.21 
9/29/2021,$53.90 
9/30/2021,$40.00 
10/1/2021,$413.95 
10/2/2021,$655.39 
10/3/2021,$0.00 
10/4/2021,$895.80 
10/5/2021,$140.13 
10/6/2021,$555.17 
10/7/2021,$334.18 
10/8/2021,$0.00 
10/9/2021,$30.07 
10/10/2021,$0.00 
10/11/2021,$413.40 
10/12/2021,$269.47 
10/13/2021,$339.56 
10/14/2021,$163.17 
10/15/2021,"$1,232.14 "
10/16/2021,"$1,519.97 "
10/17/2021,$0.00 
10/18/2021,$635.95 
10/19/2021,$129.99 
10/20/2021,$0.00 
10/21/2021,$603.67 
10/22/2021,$573.46 
10/23/2021,$21.56 
10/24/2021,$0.00 
10/25/2021,$335.17 
10/26/2021,$296.43 
10/27/2021,$21.55 
10/28/2021,$864.27 
10/29/2021,$71.14 
10/30/2021,$269.49 
10/31/2021,$0.00 
11/1/2021,$614.43 
11/2/2021,$159.62 
11/3/2021,$439.78 
11/4/2021,$59.29 
11/5/2021,$0.00 
11/6/2021,$28.02 
11/7/2021,$0.00 
11/8/2021,$806.31 
11/9/2021,$393.47 
11/10/2021,$59.29 
11/11/2021,$220.99 
11/12/2021,$222.08 
11/13/2021,$0.00 
11/14/2021,$0.00 
11/15/2021,$148.75 
11/16/2021,$0.00 
11/17/2021,$0.00 
11/18/2021,$0.00 
11/19/2021,$102.41 
11/20/2021,$828.54 
11/21/2021,$0.00 
11/22/2021,$640.50 
11/23/2021,$107.47 
11/24/2021,$458.15 
11/25/2021,$0.00 
11/26/2021,$0.00 
11/27/2021,$248.10 
11/28/2021,$0.00 
11/29/2021,$312.59 
11/30/2021,$0.00 
12/1/2021,$410.72 
12/2/2021,$140.13 
12/3/2021,$891.49 
12/4/2021,$91.63 
12/5/2021,$0.00 
12/6/2021,$0.00 
12/7/2021,$581.76 
12/8/2021,$21.55 
12/9/2021,$0.00 
12/10/2021,$378.71 
12/11/2021,$0.00 
12/12/2021,$0.00 
12/13/2021,$156.31 
12/14/2021,$0.00 
12/15/2021,$140.13 
12/16/2021,$0.00 
12/17/2021,$150.91 
12/18/2021,$0.00 
12/19/2021,$0.00 
12/20/2021,$291.03 
12/21/2021,$456.97 
12/22/2021,$233.91 
12/23/2021,$211.29 
12/24/2021,$43.11 
12/25/2021,$0.00 
12/26/2021,$0.00 
12/27/2021,$202.68 
12/28/2021,$507.74 
12/29/2021,$150.91 
12/30/2021,$514.16 
12/31/2021,$233.92 
1/1/2022,$0.00 
